Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
2356A,P134/2 over Rail,Bridge,Bridge,1/27/2022,,Waterberg,,39,15.5,3,Continuous,1/1/1973
2362,P51/3 over Diepkloof river,Bridge,Bridge,2/2/2022,,Sekhukhune,,32.8,12.7,4,Simply supported,1/1/1968
2383,D673 over river,Bridge,Bridge,9/2/2021,,Mopani,,30.8,11.9,3,Continuous,1/1/1967
2399,P110/1 over Pienaars river,Bridge,Bridge,2/7/2022,,Waterberg,,69.7,9.4,3,Cable,1/1/1968
2424,D548 over river,Bridge,Bridge,9/5/2021,,Mopani,,10.3,10.4,1,Simply supported,1/1/1966
2444,P94/2 over river,Bridge,Bridge,8/10/2021,,Vhembe,,28.9,12.3,3,Simply supported,1/1/1973
2445,P94/2 over river,Bridge,Bridge,8/9/2021,,Vhembe,,26.2,12.3,3,Simply supported,1/1/1973
2446,P94/2 over Setonki River,Bridge,Bridge,8/9/2021,,Vhembe,,52.8,12.4,8,Simply supported,1/1/1973
2450,D673 over river,Bridge,Bridge,9/5/2021,,Mopani,,16.2,12.4,1,Simply supported,1/1/1966
2453,D2748 over Sand river,Bridge,Bridge,7/28/2021,,Waterberg,,15.6,9.3,1,Simply supported,1/1/1967
2455,D673 over river,Bridge,Bridge,9/5/2021,,Mopani,,16.4,11.9,1,Simply supported,1/1/1967
2522,D1200 over Hout river,Bridge,Bridge,8/4/2021,,Capricorn,,64.4,12.4,4,Simply supported,1/1/1968
2523,D869 over Brak river,Bridge,Bridge,8/31/2021,,Waterberg,,29.3,11.96,3,Simply supported,1/1/1967
2524,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,31.2,12,6,Simply supported,1/1/1967
2526,D1888  over railway,Bridge,Bridge,8/3/2021,,Sekhukhune,,30,12.4,3,Simply supported,1/1/1967
2527,D21 over river,Bridge,Bridge,9/4/2021,,Mopani,,16.3,12.4,1,Simply supported,1/1/1968
2541,P134/3 over Nkumpi river,Bridge,Bridge,1/27/2022,,Capricorn,,81.3,11.3,5,Simply supported,1/1/1968
2542,D869 over Bier spruit,Bridge,Bridge,7/30/2021,,Waterberg,,20.4,11.96,4,Simply supported,1/1/1967
2543,D869 over Brak spruit,Bridge,Bridge,9/1/2021,,Waterberg,,25.5,12.1,5,Simply supported,1/1/1967
