Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
UN132,D3180 over river,Bridge,Bridge,8/3/2021,,Mopani,,13,11,1,Simply supported,1/1/1985
UN134,D3247 over Nwanedzi River,Bridge,Bridge,9/6/2021,,Mopani,,36.6,9.6,2,Simply supported,1/1/1965
UN135,D5011 over canal,Bridge,Bridge,9/5/2021,,Mopani,,13.8,12.1,1,Simply supported,1/1/1988
UN136,D5011 over river,Bridge,Bridge,9/5/2021,,Mopani,,45,13.7,3,Simply supported,1/1/1988
UN137,D5011 over canal,Bridge,Bridge,9/5/2021,,Mopani,,9.3,12.1,1,Simply supported,1/1/1988
UN14,D4050 over Tongwane river,Bridge,Bridge,8/13/2021,,Capricorn,,8.75,12.47,2,Continous and simply supported,1/1/1960
UN155,P43/3 over river,Bridge,Bridge,1/27/2022,,Mopani,,17.5,8.7,2,Simply supported,1/1/1965
UN156,P43/3 over river,Bridge,Bridge,1/27/2022,,Mopani,,18.7,10,2,Simply supported,1/1/1965
UN163,D5012 over Rail & Road,Bridge,Bridge,8/2/2021,,Mopani,,84,13.2,4,Continuous,1/1/1975
UN164,D5012 over Rail,Bridge,Bridge,8/2/2021,,Mopani,,34.5,13.1,3,Simply supported,1/1/1990
UN165,D21 over river,Bridge,Bridge,9/4/2021,,Mopani,,18.2,5.4,5,Simply supported,1/1/1965
UN167,D21 over river,Bridge,Bridge,9/4/2021,,Mopani,,6.2,9.65,1,Simply supported,1/1/1960
UN168,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,26.65,9.2,4,Simply supported,1/1/1960
UN169,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,6.2,9,1,Simply supported,1/1/1960
UN170,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,6.1,9.5,1,Simply supported,1/1/1960
UN171,D21 over Moetladimo river,Bridge,Bridge,9/3/2021,,Mopani,,20.32,9.1,3,Simply supported,1/1/1960
UN172,D21 over Malomanye river,Bridge,Bridge,9/3/2021,,Mopani,,12.7,9.8,2,Simply supported,1/1/1960
UN173,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,13.9,10,2,Simply supported,1/1/1960
UN174,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,19.3,11,3,Simply supported,1/1/1960
UN175,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,6.1,11,1,Simply supported,1/1/1960
UN176,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,26.2,9.9,4,Simply supported,1/1/1960
UN177,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,15.2,10.5,2,Simply supported,1/1/1960
UN178,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,6.5,9.53,1,Simply supported,1/1/1960
UN179,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,6.3,10.1,1,Simply supported,1/1/1975
UN18,D4070 over Hlakaro river,Bridge,Bridge,8/13/2021,,Capricorn,,13.2,9.4,2,Simply supported,1/1/1975
UN180,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,10.8,9.4,2,Simply supported,1/1/1976
UN184,P43/3 over Reshewele River,Bridge,Bridge,1/26/2022,,Mopani,,30,10.8,4,Continuous,1/1/1965
UN185,D1350 over river,Bridge,Bridge,7/31/2021,,Mopani,,6.5,10,1,Simply supported,1/1/1965
UN187A,D1350 over river,Bridge,Bridge,7/30/2021,,Mopani,,12.3,10,3,Frame,1/1/2005
UN188,D1350 over river,Bridge,Bridge,7/30/2021,,Mopani,,6.5,9.5,1,Simply supported,1/1/1965
UN189,D1350 over river,Bridge,Bridge,7/30/2021,,Mopani,,6.5,10,1,Simply supported,1/1/1965
UN196,D3164 over river,Bridge,Bridge,9/3/2021,,Vhembe,,84,4.8,12,Simply supported,1/1/1965
UN197,D3200 over river,Bridge,Bridge,8/1/2021,,Mopani,,21,8.7,3,Simply supported,1/1/1965
UN198,D3200 over river,Bridge,Bridge,8/1/2021,,Mopani,,11.4,8.8,2,Simply supported,1/1/1965
UN199,D3200 over river,Bridge,Bridge,8/1/2021,,Mopani,,12.2,8.9,2,Simply supported,1/1/1965
UN200,D3200 over river,Bridge,Bridge,8/1/2021,,Mopani,,20.4,8.7,3,Simply supported,1/1/1965
UN202,D3200 over river,Bridge,Bridge,7/30/2021,,Mopani,,20.1,9,3,Simply supported,1/1/1965
UN206N,D3641 Over Nsami Dam,Bridge,Bridge,7/29/2021,,Mopani,,114.5,10.7,6,Simply supported,1/1/2010
UN207,D3641 over Shinwedzi river,Bridge,Bridge,7/28/2021,,Mopani,,49.5,4.8,7,Simply supported,1/1/1981
UN208,D3763 over  Letsitele river,Bridge,Bridge,9/5/2021,,Mopani,,24.7,8.5,2,Simply supported,1/1/1960
UN209,D3810 over Magobe river,Bridge,Bridge,7/28/2021,,Mopani,,14,11.8,2,Simply supported,1/1/1980
UN210,D3810 over river,Bridge,Bridge,7/28/2021,,Mopani,,21.5,11.8,3,Simply supported,1/1/1980
UN215,D3820 over river,Bridge,Bridge,8/1/2021,,Mopani,,39.1,4.84,6,Simply supported,1/1/1965
UN218,D3912 over river,Bridge,Bridge,9/5/2021,,Mopani,,19.9,8.7,3,Simply supported,1/1/1960
UN230,D2509 over Rail,Bridge,Bridge,7/30/2021,,Waterberg,,32.7,13,3,Simply supported,1/1/1966
UN231,D2816 over Conveyor,Bridge,Bridge,8/30/2021,,Waterberg,,12.2,11.3,1,Simply supported,1/1/1975
UN25,D4100 over Olifants river,Bridge,Bridge,8/12/2021,,Sekhukhune,,129.5,4.6,3,Truss,1/1/1960
UN260,D4190 over Lepallane river,Bridge,Bridge,8/31/2021,,Sekhukhune,,23.5,9.8,4,Simply supported,1/1/1960
UN268,D4050 over Mpogodima river,Bridge,Bridge,8/13/2021,,Capricorn,,40.5,13.39,5,Simply supported,1/1/1975
UN268B,D4268 over Ngwaritsi river,Bridge,Bridge,8/5/2021,,Sekhukhune,,56.2,12.6,9,Cantilever with drop in spans,1/1/1975
UN27,D4134 over Malokele river,Bridge,Bridge,8/17/2021,,Sekhukhune,,13.5,12,2,Simply supported,1/1/1960
UN270,D4134 over river,Bridge,Bridge,8/17/2021,,Sekhukhune,,13.4,11.5,2,Simply supported,1/1/1960
UN271,D4134 over Motse river,Bridge,Bridge,8/17/2021,,Sekhukhune,,38.4,11.2,2,Simply supported,1/1/1975
UN274,D2484 over river,Bridge,Bridge,2/7/2022,,Sekhukhune,,6,12,2,Continuous,1/1/1975
UN275,D4100 over Moganyaka river,Bridge,Bridge,8/5/2021,,Sekhukhune,,14.3,11.8,2,Simply supported,1/1/1975
UN276,D4100 over Phuleng river,Bridge,Bridge,8/13/2021,,Sekhukhune,,28,11.2,3,Simply supported,1/1/1990
UN277,D4100 over Puleng river,Bridge,Bridge,8/13/2021,,Sekhukhune,,28,10.85,3,Simply supported,1/1/1975
UN278,D4100 over river,Bridge,Bridge,8/13/2021,,Sekhukhune,,22,10.5,2,Simply supported,1/1/1975
UN279,D4100 over Motsephiri river,Bridge,Bridge,8/13/2021,,Sekhukhune,,37.3,10.55,4,Simply supported,1/1/1975
UN280,D2219 over Ngwaritsi river,Bridge,Bridge,1/26/2022,,Sekhukhune,,28,12.6,3,Continuous,1/1/1975
UN281,D2219 over shakwaneng river,Bridge,Bridge,1/27/2022,,Sekhukhune,,11.9,14.4,2,Frame,1/1/1960
UN283,D2219 over river,Bridge,Bridge,1/27/2022,,Sekhukhune,,10.2,14.2,1,Simply supported,1/1/1975
UN284,D2219 over Shakwaneng river,Bridge,Bridge,1/26/2022,,Sekhukhune,,14,9.1,2,Simply supported,1/1/1960
UN29,D4170 over Sefufule river,Bridge,Bridge,8/19/2021,,Sekhukhune,,13,11.2,3,Simply supported,1/1/1975
UN30,D4170 over Pororo river,Bridge,Bridge,8/19/2021,,Sekhukhune,,21.3,10.7,3,Simply supported,1/1/1975
UN302,P17/3 over river,Bridge,Bridge,2/7/2022,,Mopani,,5,18,2,Continuous,1/1/1960
UN303,D21 over river,Bridge,Bridge,9/3/2021,,Mopani,,12.6,9.5,2,Simply supported,1/1/1960
UN306,D1231 over river,Bridge,Bridge,9/9/2021,,Waterberg,,8.5,7.5,1,Simply supported,1/1/1970
UN33,D4180 over river,Bridge,Bridge,8/19/2021,,Sekhukhune,,12.5,10,5,Cellular,1/1/1975
UN35,D4190 over Tswaing river,Bridge,Bridge,8/31/2021,,Sekhukhune,,14,9.8,2,Simply supported,1/1/1975
UN36,D4190 over Pelangwe river,Bridge,Bridge,8/31/2021,,Sekhukhune,,7.3,9.7,1,Simply supported,1/1/1975
UN37,D4200 over Dithothwaneng River,Bridge,Bridge,9/1/2021,,Sekhukhune,,25.1,9.96,2,Simply supported,1/1/1975
UN38,D4200 over Lepellane river,Bridge,Bridge,9/1/2021,,Sekhukhune,,14,11,2,Simply supported,1/1/1960
UN39,D4200 over river,Bridge,Bridge,9/1/2021,,Sekhukhune,,6.3,11,1,Simply supported,1/1/1975
UN40,D4220 over river,Bridge,Bridge,8/31/2021,,Sekhukhune,,13.8,9.1,2,Simply supported,1/1/1970
UN43,D4250 over Lepellane river,Bridge,Bridge,9/1/2021,,Sekhukhune,,21.04,12.06,3,Continuous,1/1/1975
UN45,D4263 over river,Bridge,Bridge,8/12/2021,,Sekhukhune,,12.5,7,2,Simply supported,1/1/1975
UN46,D4280 over Monapanade river,Bridge,Bridge,1/27/2022,,Sekhukhune,,6,10.5,1,Simply supported,1/1/1975
UN47,D4285 over Motsephiri river,Bridge,Bridge,8/5/2021,,Sekhukhune,,20.2,9.2,3,Simply supported,1/1/1975
UN48,D885 over river,Bridge,Bridge,8/19/2021,,Capricorn,,26.2,10.6,4,Simply supported,1/1/1975
UN49,D885 over river,Bridge,Bridge,8/19/2021,,Capricorn,,8.1,12.7,1,Simply supported,1/1/1975
UN67,D1356 over Dwars river,Bridge,Bridge,7/27/2021,,Capricorn,,32.9,8.69,4,Simply supported,1/1/1980
UN70,D1200 over river,Bridge,Bridge,8/20/2021,,Capricorn,,13,9.5,2,Simply supported,1/1/1987
UN94,D3653 over river,Bridge,Bridge,2/7/2022,,Vhembe,,17,5.8,7,Cellular,1/1/1975
UNL01,D1350 over river,Bridge,Bridge,7/30/2021,,Mopani,,7,12,1,Simply supported,1/1/1965
UNL03,D1350 over river,Bridge,Bridge,7/30/2021,,Mopani,,13,9.4,2,Simply supported,1/1/1965
UNL06,D3180 over river,Bridge,Bridge,7/30/2021,,Mopani,,6.8,10,1,Simply supported,1/1/1965
