Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,District,Municipality,Road No.,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
176,D972 over Dwars river,Bridge,Bridge,7/27/2021,Waterberg,,,6/30/2022,7/1/2021,5526217,9024356,11106900,360440,5220243,30100,30,12.3,5,,,,,,,,,,,,,1,0.53,47
1760,D171 over Tambotie river,Bridge,Bridge,8/30/2021,Waterberg,,,6/30/2022,6/25/2021,2254506,8275393,9658488,2111130,5292852,30100,38.2,8.4,4.1,,,,,,,,,,,,,1,0.452,62
1761,D1460 over Klip river,Bridge,Bridge,8/27/2021,Waterberg,,,6/30/2022,6/26/2021,5864124,10610005,13240990,2212880,5163986,30100,41.5,10.6,3.5,,,,,,,,,,,,,1,0.61,39
1770,D192 over river,Bridge,Bridge,9/8/2021,Waterberg,,,6/30/2022,8/5/2021,2925722,5257444,6886880,269790,3691368,30100,26,8.8,7.5,,,,,,,,,,,,,1,0.464,59
1826,D453 over Sand river,Bridge,Bridge,7/27/2021,Capricorn,,,6/30/2022,7/27/2021,5782354,11971944,12764630,242550,6739723,30100,48.3,8.78,4.88,,,,,,,,,,,,,1,0.472,57
1827,D777 over Sand river,Bridge,Bridge,8/13/2021,Vhembe,,,6/30/2022,8/13/2021,18428383,38296659,39082210,18420,20635409,45140,96.2,9,10.85,,,,,,,,,,,,,1,0.472,57
1846,D198  over Trib Of Olifants,Bridge,Bridge,8/2/2021,Sekhukhune,,,6/30/2022,8/3/2021,3383895,7745463,9327388,1130560,4812933,30100,24.4,12.7,0,,,,,,,,,,,,,1,0.484,54
1883,P116/1 over river,Bridge,Bridge,2/2/2022,Mopani,,,6/30/2022,1/18/2022,1401312,2394392,2643984,0,1242672,30100,7.2,12.2,7.7,,,,,,,,,,,,,1,0.53,47
1897,D198  over Olifants river,Bridge,Bridge,8/3/2021,Sekhukhune,,,6/30/2022,8/3/2021,4000363,7710962,8812528,264900,4547265,30100,24.5,11.95,2.7,,,,,,,,,,,,,1,0.484,54
1898,D1589 over Brak river,Bridge,Bridge,8/26/2021,Capricorn,,,6/30/2022,8/26/2021,4027113,7299013,8594152,201210,4365829,30100,33.2,8.6,4.4,,,,,,,,,,,,,1,0.492,52
1903,D1509 over Brand Boontjies riv,Bridge,Bridge,7/31/2021,Mopani,,,6/30/2022,7/31/2021,2030773,4009549,4245605,24100,2190732,30100,15.5,9.1,4.8,,,,,,,,,,,,,1,0.484,54
1920,D1356 over river,Bridge,Bridge,8/4/2021,Capricorn,,,6/30/2022,8/4/2021,1846875,3785856,4168068,103780,2217412,30100,14.7,9.42,5.59,,,,,,,,,,,,,1,0.468,58
1923,D879 over river,Bridge,Bridge,8/4/2021,Capricorn,,,6/30/2022,8/4/2021,1566242,3565739,3843220,263130,2013847,45140,9.9,8.6,8.26,,,,,,,,,,,,,1,0.476,56
1924,D879 over river,Bridge,Bridge,8/4/2021,Capricorn,,,6/30/2022,8/4/2021,1164845,2432554,2686124,113750,1407529,30100,9.7,9.2,4.86,,,,,,,,,,,,,1,0.476,56
1933,D978 over Thabanake river,Bridge,Bridge,9/6/2021,Mopani,,,6/30/2022,9/6/2021,8397935,16501957,17193120,61080,8734105,30100,48,11.9,4.4,,,,,,,,,,,,,1,0.492,52
1936,D668 over river,Bridge,Bridge,8/5/2021,Mopani,,,6/30/2022,8/5/2021,2097849,4334400,4334400,0,2236551,30100,16,9,7.21,,,,,,,,,,,,,1,0.484,54
1937,P43/3 over river,Bridge,Bridge,1/31/2022,Mopani,,,6/30/2022,1/16/2022,3126270,6076964,6772500,43260,3602970,30100,25,9,3.65,,,,,,,,,,,,,1,0.468,58
1962,D4000 over river,Bridge,Bridge,8/11/2021,Capricorn,,,6/30/2022,8/11/2021,2500905,4755747,5576627,86650,2989072,30100,19.4,9.55,5.33,,,,,,,,,,,,,1,0.464,59
1976,D598 over Sterk river,Bridge,Bridge,7/22/2021,Waterberg,,,6/30/2022,7/22/2021,5047456,9674575,10456740,97260,5312024,30100,38.6,9,4.6,,,,,,,,,,,,,1,0.492,52
