Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District,Municipality,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
6129,D3893 over river,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,97.32,97.12
6130,D11 over Lebjelebore river,Bridge,Bridge,8/1/2021,,,,Mopani,,6/30/2022,97.77,98.46
6131,D3881 over Thabina river,Bridge,Bridge,9/4/2021,,,,Mopani,,6/30/2022,98.21,94.03
6133,D3694 over river,Bridge,Bridge Cellular,9/4/2021,,,,Vhembe,,6/30/2022,95.74,96.34
6135,D1200 over Ga-Hlako River,Bridge,Bridge Cellular,8/20/2021,,,,Capricorn,,6/30/2022,84.38,35.33
6137,D3840 over Ka-malilibone river,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,100,100
6138,D3810 Ext Over Klein Letaba,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,99.11,98.94
6139,D4129 over Motse river,Bridge,Bridge,8/17/2021,,,,Sekhukhune,,6/30/2022,93.68,92.88
6141,Mmamerela River Bridge,Bridge,Bridge Cellular,8/11/2021,,,,Capricorn,,6/30/2022,97.16,95.04
6142,Tlhabasane River Bridge,Bridge,Bridge Cellular,8/11/2021,,,,Capricorn,,6/30/2022,86.17,29.5
6143,D3681 over Mutsindudi river,Bridge,Bridge,9/2/2021,,,,Vhembe,,6/30/2022,100,100
6144,D3681 over Tshinane river,Bridge,Bridge,9/2/2021,,,,Vhembe,,6/30/2022,100,100
6145,D4100 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,,,Sekhukhune,,6/30/2022,84.35,76.53
6148,#NAME?,Bridge,Bridge Cellular,7/30/2021,,,,,,6/30/2022,95.45,97.58
6149,D3180 over Molototsi river,Bridge,Bridge,8/3/2021,,,,Mopani,,6/30/2022,98.66,98.73
6150,D1200 over Mogalakwena river,Bridge,Bridge,8/25/2021,,,,Capricorn,,6/30/2022,93.62,95.45
6151,D3697 over river,Bridge,Bridge,8/11/2021,,,,Vhembe,,6/30/2022,96.97,86.98
6152,D3708 over Mbwedi river,Bridge,Bridge,8/30/2021,,,,Vhembe,,6/30/2022,98.66,91.04
6153,D4100 over Makotswane river,Bridge,Bridge,8/12/2021,,,,Sekhukhune,,6/30/2022,88.06,83.89
6153B,D3748 over river,Bridge,Bridge,9/2/2021,,,,Vhembe,,6/30/2022,100,100
6154,D3761 Over Mambedi river,Bridge,Bridge,9/2/2021,,,,Vhembe,,6/30/2022,100,100
6156,D4050 over Sekantlana River,Bridge,Bridge Cellular,8/13/2021,,,,Capricorn,,6/30/2022,82.24,82.77
6157,D4050 over Sekantlana River Tributary,Bridge,Bridge Cellular,8/13/2021,,,,Capricorn,,6/30/2022,92.33,90.38
6158,D4050 over Mahlatjane river,Bridge,Bridge,8/13/2021,,,,Capricorn,,6/30/2022,91.07,96.99
6169,D1350 over river Botludi River,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,98.89,98.94
6174,#NAME?,Bridge,Bridge Cellular,8/1/2021,,,,,,6/30/2022,95.45,97.58
6177,D5002 Over Munangahe River,Bridge,Bridge Cellular,9/1/2021,,,,Vhembe,,6/30/2022,86.17,82.77
6180,#NAME?,Bridge,Bridge Cellular,7/30/2021,,,,,,6/30/2022,97.16,97.31
6181,D3187 over Mmaba river,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,96.43,97.01
6182,D3187 over river,Bridge,Bridge,7/30/2021,,,,Mopani,,6/30/2022,99.11,98.94
6184,D1350 over Nwanedzi river,Bridge,Bridge,7/31/2021,,,,Mopani,,6/30/2022,94.87,93.16
6186,D192 over Klein Mogalakwena ri,Bridge,Bridge,8/27/2021,,,,Waterberg,,6/30/2022,96.65,98
6190,D4204 over Mohlaletsi river,Bridge,Bridge,8/31/2021,,,,Sekhukhune,,6/30/2022,80.36,64.19
6196,6196 - D3771 over river,Bridge,Bridge,9/4/2021,,,,,,6/30/2022,99.11,98.94
6202,D1392 over river.,Bridge,Bridge Cellular,2/1/2022,,,,Sekhukhune,,6/30/2022,90.62,91.14
6204,#NAME?,Bridge,Bridge Cellular,7/31/2021,,,,,,6/30/2022,100,100
6205,P43/3 over Marupyabeni river,Bridge,Bridge,2/1/2022,,,,Mopani,,6/30/2022,91.29,81.84
6208,D4055 over Olifants river,Bridge,Bridge,8/13/2021,,,,Capricorn,,6/30/2022,95.54,97.37
6209,Access road over Motse river,Bridge,Bridge,2/7/2022,,,,Sekhukhune,,6/30/2022,100,100
6210,P278/1 over Nzhelele River,Bridge,Bridge Cellular,9/3/2021,,,,Vhembe,,6/30/2022,69.32,82.77
6217,D3727 Over Klein Letaba,Bridge,Bridge,8/14/2021,,,,Vhembe,,6/30/2022,95.76,97.07
6227,D3847 over Molototsi river,Bridge,Bridge,7/28/2021,,,,Mopani,,6/30/2022,97.77,98.65
6229,D4137 over Olifants river,Bridge,Bridge,8/17/2021,,,,Sekhukhune,,6/30/2022,91.07,83.34
6230,D3507 over thwathwe,Bridge,Bridge Cellular,9/13/2021,,,,Waterberg,,6/30/2022,67.33,50.2
643,D1567 over Rietspruit,Bridge,Bridge,7/27/2021,,,,Capricorn,,6/30/2022,92.52,96.52
681,D1525 over river,Bridge,Bridge,8/3/2021,,,,Sekhukhune,,6/30/2022,82.22,79.32
769,D2538 over river,Bridge,Bridge Cellular,8/18/2021,,,,Sekhukhune,,6/30/2022,66.67,44.15
806,D710 over Klien Sand river.,Major Culvert,Culvert Major,7/26/2021,,,,Waterberg,,6/30/2022,85.83,86.29
814,P171/1 over river,Bridge,Bridge,8/3/2021,,,,Sekhukhune,,6/30/2022,89.72,77.19
837,D217 over Mogalakwena river,Bridge,Bridge,8/25/2021,,,,Capricorn,,6/30/2022,93.53,88.01
86,P95/1 over canal,Bridge,Bridge,8/3/2021,,,,Sekhukhune,,6/30/2022,93.33,84.94
88,P1/3 over Pienaars river,Bridge,Bridge,9/7/2021,,,,Waterberg,,6/30/2022,83.79,51.25
929,929 - D1498,Bridge,Bridge Cellular,9/5/2021,,,,Mopani,,6/30/2022,97.73,94.03
B194,Truss structure over Steelpoortriver,Bridge,Bridge,2/3/2022,,,,Sekhukhune,,6/30/2022,71.39,49.89
B6026,D4200 over Dithothwaneng River,Bridge,Bridge,9/1/2021,,,,Sekhukhune,,6/30/2022,82.14,77.9
C10001,Mokhutswe River Major Culvert,Major Culvert,Culvert Major,7/22/2021,,,,Capricorn,,6/30/2022,100,100
C10002,D1200 over Ga-Manasona Tributary 1,Major Culvert,Culvert Major,8/20/2021,,,,Capricorn,,6/30/2022,96.31,97.12
C10003,D1200 over Ga-Mamasonya River Tributary 2,Major Culvert,Culvert Major,8/20/2021,,,,Capricorn,,6/30/2022,97.16,96.58
C10004,D3277 over Morotsi Tributary 1,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,93.18,90
C10005,D3277 over Morotsi River Tributary 2,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,91.76,84.68
C10006,D3277 over Morotsi River tributary 3,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,94.89,93.6
C10007,D3277 over Morotsi River Tributary,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,91.76,87.44
C10008,D3277 over Morotsi River Tributary 5,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,89.35,94.98
C10009,D3277 over Morotsi Tributary 6,Major Culvert,Culvert Major,8/25/2021,,,,Mopani,,6/30/2022,89.77,46.7
C10010,D3277 over Morotsi River Tributary 7,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,85.51,54.24
C10011,D3277 over Morotsi River Tributary 9,Major Culvert,Culvert Major,8/25/2021,,,,Capricorn,,6/30/2022,90.06,87.31
C10012,New culver located.,Major Culvert,Culvert Major,2/3/2022,,,,Mopani,,6/30/2022,96.59,74.65
C10013,D1089 over groot nyl river,Major Culvert,Culvert Major,7/27/2021,,,,Waterberg,,6/30/2022,92.05,96.93
C10014,D1942 over river ,Major Culvert,Culvert Major,2/4/2022,,,,Vhembe,,6/30/2022,92.33,90.35
C10015,D1942 over river,Major Culvert,Culvert Major,2/4/2022,,,,Vhembe,,6/30/2022,81.53,62.78
M6508,Over canal,Bridge,Bridge Cellular,8/2/2021,,,,,,6/30/2022,100,100
M6583,D2538 over river,Bridge,Bridge Cellular,8/18/2021,,,,Sekhukhune,,6/30/2022,86.36,26.46
NB007,P135/1 over Nzhelele river,Bridge,Bridge,8/12/2021,,,,Vhembe,,6/30/2022,93.08,87.65
NB008,P165/1 over Olifants spruit,Major Culvert,Culvert Major,7/27/2021,,,,Waterberg,,6/30/2022,79.12,53.97
NB009,P165/1 over Olifantspruit river.,Bridge,Bridge Cellular,9/13/2021,,,,Waterberg,,6/30/2022,75.76,52.62
NB010,P165/1 over Olifantspruit river.,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,60.8,47.64
NB011,P165/1 over Olifantspruit tributary.,Major Culvert,Culvert Major,9/15/2021,,,,Waterberg,,6/30/2022,80.87,57.33
NB012,P240/1 over river,Bridge,Bridge,7/28/2021,,,,Waterberg,,6/30/2022,88.17,89.36
NB013,P240/1 over river,Bridge,Bridge Cellular,7/28/2021,,,,Waterberg,,6/30/2022,75.57,79.23
NB014,P277/1 over Mutale river,Bridge,Bridge,8/11/2021,,,,Vhembe,,6/30/2022,98.33,85.08
NB015,P277/1 over Mutshindudi river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,100,100
NB016,P277/1 Tshinane river,Bridge,Bridge,9/1/2021,,,,Vhembe,,6/30/2022,95.31,83.08
NB017,P277/1 over river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,94.2,79.63
NB018,P277/1 over Mbwedi river,Bridge,Bridge,8/31/2021,,,,Vhembe,,6/30/2022,91.29,81.86
NB019,P278/1 over Khandanama river,Bridge,Bridge,9/4/2021,,,,Vhembe,,6/30/2022,95.76,92.42
NB020,P278/1 over river,Bridge,Bridge,8/13/2021,,,,Vhembe,,6/30/2022,96.43,89.66
NB030,D1031 over river,Major Culvert,Culvert Major,7/21/2021,,,,Waterberg,,6/30/2022,77.84,84.36
NB031,D1031 over sand river.,Major Culvert,Culvert Major,9/2/2021,,,,Waterberg,,6/30/2022,60.37,53.27
